47
0, -258.20, -32.72
1, -249.20, -32.72
2, -237.20, -32.72
3, -222.20, -32.72
4, -219.20, -32.72
5, -210.20, -32.72
6, -201.20, -32.72
7, -195.20, -35.72
8, -192.20, -47.72
9, -189.20, -56.72
10, -189.20, -65.72
11, -189.20, -77.72
12, -186.20, -83.72
13, -186.20, -86.72
14, -195.20, -92.72
15, -213.20, -95.72
16, -219.20, -95.72
17, -246.20, -95.72
18, -252.20, -95.72
19, -252.20, -95.72
20, -267.20, -71.72
21, -273.20, -47.72
22, -279.20, -41.72
23, 5161.12, -345.79
24, 5164.12, -207.79
25, 5173.12, -207.79
26, 5194.12, -207.79
27, 5191.12, -207.79
28, 5185.12, -207.79
29, 5203.12, -207.79
30, 5212.12, -210.79
31, 5206.12, -216.79
32, 5206.12, -228.79
33, 5206.12, -234.79
34, 5206.12, -237.79
35, 5206.12, -240.79
36, 5197.12, -243.79
37, 5197.12, -243.79
38, 5188.12, -243.79
39, 5182.12, -243.79
40, 5182.12, -243.79
41, 5170.12, -243.79
42, 5164.12, -240.79
43, 5164.12, -240.79
44, 5158.12, -228.79
45, 5161.12, -213.79
46, 5158.12, -234.79
